index,lat,lon,alt,X,Y,Z,psi,theta,phi,TAS,JSHead,JSPitch,JSRoll,throttle,thrust,fuel_flow,rudder,elevator,left_ail,right_ail,ground_speed,wind_speed,roll_rate,num_wp,x_wp,y_wp,z_wp,wp_dist,yaw_reff,wp_stat,ph_stat,wl_stat,yaw_error,JSRoll_Sim,Roll_lim_stat,KP,KD,error_rate
1.0,-31.508000000000006,118.73,2512.7,305.24,79.081,13.691,75.317,4.3751,-1.2436,77.51,-0.0039216,0.13725,-0.088386,0.81514,4557.4,0.13066,0.0,-4.8926,-1.0699,0.52475,77.51,0.0,-4.9918,1.0,2895.0,1935.0,1000.0,3186.1,54.37300000000001,1.0,0.0,0.0,20.943,-0.095398,0.0,-0.065763,-0.029636000000000006,1.0362
4.0,-31.508000000000006,118.73,2516.8,403.84,104.88,17.895,74.495,5.2467,-6.2248,77.971,-0.0039216,0.13725,-0.034293000000000004,0.65087,2721.9,0.077805,0.0,-4.747,-0.39067,0.18514,77.971,0.0,-2.3772,1.0,2895.0,1935.0,1000.0,3091.1,53.697,1.0,0.0,0.0,20.798,-0.065304,0.0,-0.065304,0.0,0.0
8.0,-31.508000000000006,118.73,2524.0,524.2,139.12,25.168000000000006,72.61,6.5502,-9.3427,77.40899999999998,-0.0039216,0.13725,-0.016041999999999997,0.54023,1757.1,0.055677,0.0,-4.6319,-0.17325,0.07643,77.40899999999998,0.0,-1.247,1.0,2895.0,1935.0,1000.0,2974.2,52.856,1.0,0.0,0.0,19.754,-0.062028,0.0,-0.062028,0.0,0.0
12.0,-31.507,118.73,2534.3,648.91,179.71,35.548,70.042,7.7626,-11.225,76.02199999999998,-0.0039216,0.13725,-0.0023791,0.45564,1327.7,0.045914,0.0,-4.6585,-0.034032,0.0068200000000000005,76.02199999999998,0.0,0.19154,1.0,2895.0,1935.0,1000.0,2850.6,51.993,1.0,0.0,0.0,18.05,-0.056676,0.0,-0.056676,0.0,0.0
16.0,-31.507,118.74,2551.3,812.78,242.9,52.75,66.41199999999999,8.7611,-11.183,73.517,-0.0039216,0.13725,0.023213,0.45564,1252.2,0.0442,0.0,-4.7273,0.16716,-0.33393,73.517,0.0,0.24939,1.0,2895.0,1935.0,1000.0,2683.1,50.901,1.0,0.0,0.0,15.511,-0.048705,0.0,-0.048705,0.0,0.0
20.0,-31.506,118.74,2564.6,928.07,294.48,66.112,63.813,8.8544,-10.8,71.57300000000002,-0.0039216,0.13725,-0.0060662,0.45564,1254.4,0.044278,0.0,-4.8296,-0.088269,0.033938,71.57300000000002,0.0,0.22557,1.0,2895.0,1935.0,1000.0,2561.3,50.17,1.0,0.0,0.0,13.643,-0.04284,0.0,-0.04284,0.0,0.0
24.0,-31.506,118.74,2576.5,1035.4,348.17,78.218,61.415,8.402999999999999,-10.532,69.81,-0.0039216,0.13725,-0.037432,0.45564,1260.3,0.04444,0.0,-4.9213,-0.5305300000000001,0.25507,69.81,0.0,0.22886,1.0,2895.0,1935.0,1000.0,2444.6,49.526,1.0,0.0,0.0,11.89,0.007223699999999999,0.0,-0.037334,0.044558,-1.558
28.0,-31.505,118.74,2586.7,1139.1,405.68,88.59299999999998,59.07,7.4088,-10.055,68.298,-0.0039216,0.13725,0.043507,0.45564,1265.8,0.04459,0.0,-5.0198,0.28473000000000004,-0.56907,68.298,0.0,1.6372,1.0,2895.0,1935.0,1000.0,2328.5,48.94600000000001,1.0,0.0,0.0,10.124,-0.031789,0.0,-0.031789,0.0,0.0
32.0,-31.505,118.74,2594.0,1235.5,464.25,96.006,57.052,6.0393,-8.9537,67.221,-0.0039216,0.13725,0.025266,0.45564,1269.7,0.044698,0.0,-5.0548,0.16826,-0.33612,67.221,0.0,0.93552,1.0,2895.0,1935.0,1000.0,2217.4,48.45,1.0,0.0,0.0,8.6014,0.01,0.0,-0.027008,0.037008,-1.294
36.0,-31.504,118.74,2598.2,1330.5,526.0,100.33,55.221,4.3785,-8.2102,66.60600000000001,-0.0039216,0.13725,0.024182,0.45564,1272.0,0.04476,0.0,-5.1076,0.16225,-0.3241,66.60600000000001,0.0,0.8417600000000001,1.0,2895.0,1935.0,1000.0,2105.4,47.993,1.0,0.0,0.0,7.2272,1.7433e-05,0.0,-0.022694,0.022711,-0.79409
