index,lat,lon,alt,X,Y,Z,psi,theta,phi,TAS,JSHead,JSPitch,JSRoll,throttle,thrust,fuel_flow,rudder,elevator,left_ail,right_ail,ground_speed,wind_speed,roll_rate,num_wp,x_wp,y_wp,z_wp,wp_dist,yaw_reff,wp_stat,ph_stat,wl_stat,yaw_error,JSRoll_Sim,Roll_lim_stat,KP,KD,error_rate
1.0,-31.895,120.18,2977.5,-186.3,99.001,8.0885,298.4,3.6111,0.71058,83.656,0.0039216,0.11373,0.0039216,1.0,4824.5,0.13671,0.0,-4.3206,0.0093898,-0.039172000000000005,83.656,0.0,0.24883,1.0,1500.0,3000.0,1000.0,3355.5,30.169,1.0,0.0,0.0,-91.768,0.4654100000000001,0.0,0.36707,0.09834,-3.1723
4.0,-31.895,120.18,2978.3,-219.51,116.98,8.9534,298.46,3.3837,1.096,84.223,0.0039216,0.11373,0.46749,1.0,4851.2,0.1375,0.0,-4.2533,3.2213,-6.462999999999999,84.223,0.0,7.189,1.0,1500.0,3000.0,1000.0,3356.9,30.813,1.0,0.0,0.0,-92.354,0.36941,0.0,0.36941,0.0,0.0
8.0,-31.895,120.18,2978.3,-222.4,118.46,9.0212,298.46,3.3821,1.4725,84.273,0.0039216,0.11373,0.36941,1.0,4852.6,0.13755,0.0,-4.2216,2.4757,-4.9717,84.273,0.0,10.161,1.0,1500.0,3000.0,1000.0,3357.1,30.868,1.0,0.0,0.0,-92.404,0.36962,0.0,0.36962,0.0,0.0
12.0,-31.895,120.18,2978.4,-225.29,119.95,9.0795,298.47,3.3827,1.8776,84.31700000000002,0.0039216,0.11373,0.36962,1.0,4853.7,0.13758,0.0,-4.2238,2.4494,-4.9191,84.31700000000002,0.0,12.261,1.0,1500.0,3000.0,1000.0,3357.3,30.924,1.0,0.0,0.0,-92.454,0.36982,0.0,0.36982,0.0,0.0
16.0,-31.895,120.18,2978.8,-244.06,130.31,9.4894,298.56,3.3626,6.3923,84.65,0.0039216,0.11373,0.4263,1.0,4860.4,0.13778,0.0,-4.3502,2.7691,-5.5587,84.65,0.0,20.783,1.0,1500.0,3000.0,1000.0,3358.1,31.289,1.0,0.0,0.0,-92.726,0.3709,0.0,0.3709,0.0,0.0
20.0,-31.895,120.18,2979.1,-259.95,138.77,9.8002,298.78,3.2802,10.970999999999998,84.928,0.0039216,0.11373,0.37107,1.0,4863.5,0.13787,0.0,-4.3584,2.3453,-4.711,84.928,0.0,21.73,1.0,1500.0,3000.0,1000.0,3359.2,31.596,1.0,0.0,0.0,-92.819,0.37128,0.0,0.37128,0.0,0.0
24.0,-31.895,120.18,2979.5,-285.95,153.16,10.249,299.45,3.053,18.688,85.38799999999998,0.0039216,0.11373,0.37075,0.97594,4856.9,0.13777,0.0,-4.1792,2.3444,-4.7092,85.38799999999998,0.0,21.593000000000004,1.0,1500.0,3000.0,1000.0,3360.7,32.102,1.0,0.0,0.0,-92.651,0.3706,0.0,0.3706,0.0,0.0
28.0,-31.895,120.18,2979.8,-314.11,168.82,10.609000000000002,300.53,2.6765,26.384,85.867,0.0039216,0.11373,0.24635,0.89386,4528.1,0.12897999999999998,0.0,-3.9944,1.4759,-2.9722,85.867,0.0,17.45,1.0,1500.0,3000.0,1000.0,3362.5,32.65,1.0,0.0,0.0,-92.117,0.36847,0.0,0.36847,0.0,0.0
32.0,-31.894,120.18,2979.9,-345.16,186.8,10.800999999999998,302.01,2.0977,32.398,86.34,0.0039216,0.11373,-8.3045e-05,0.7952199999999999,3912.1,0.11197,0.0,-3.8432,-0.25105,0.12572,86.34,0.0,5.7845,1.0,1500.0,3000.0,1000.0,3364.3,33.261,1.0,0.0,0.0,-91.248,0.36470933333333333,1.0,0.36499,0.0,0.0
36.0,-31.894,120.18,2979.8,-376.93,206.9,10.694,303.65,1.4962,33.431,86.74799999999998,0.0039216,0.11373,0.0018373,0.7424,3266.5,0.09341,0.0,-3.6936,-0.015093,0.0077427999999999985,86.74799999999998,0.0,0.70343,1.0,1500.0,3000.0,1000.0,3365.2,33.901,1.0,0.0,0.0,-90.251,0.36125511111111114,1.0,0.36101,0.0,0.0
40.0,-31.894,120.18,2979.5,-397.15,220.02,10.45,304.66,1.2176,33.565,86.96799999999998,0.0039216,0.11373,0.00055507,0.6805399999999999,2939.0,0.083912,0.0,-3.705,-0.014536000000000004,0.0074641,86.96799999999998,0.0,0.22823,1.0,1500.0,3000.0,1000.0,3365.6,34.311,1.0,0.0,0.0,-89.65100000000002,0.3578008888888889,1.0,0.35861,-0.12035,3.8822
44.0,-31.894,120.18,2978.8,-426.76,240.12,9.8579,306.15,0.8557100000000001,33.621,87.24700000000001,0.0039216,0.11373,1.6226e-05,0.59187,2435.9,0.070684,0.0,-3.6729,-0.013149,0.005906499999999999,87.24700000000001,0.0,-0.035826,1.0,1500.0,3000.0,1000.0,3365.9,34.92,1.0,0.0,0.0,-88.76700000000002,0.3543466666666667,1.0,0.35507,0.0,0.0
48.0,-31.894,120.18,2978.1,-450.59,257.05,9.2007,307.37,0.59007,33.608000000000004,87.43299999999998,0.0039216,0.11373,-0.00014471,0.59187,2151.7,0.063955,0.0,-3.6209,-0.012869,0.0053451,87.43299999999998,0.0,-0.10855,1.0,1500.0,3000.0,1000.0,3365.8,35.418,1.0,0.0,0.0,-88.04299999999998,0.35089244444444445,1.0,0.35217,0.0,0.0
52.0,-31.893,120.18,2976.8,-485.25,283.29,7.9359,309.24,0.20543000000000006,33.566,87.68,0.0039216,0.11373,-0.00025072,0.50751,1837.1,0.056744,0.0,-3.5725,-0.013651,0.0069102,87.68,0.0,-0.10375,1.0,1500.0,3000.0,1000.0,3364.8,36.158,1.0,0.0,0.0,-86.92,0.34743822222222226,1.0,0.34768000000000004,0.0,0.0
56.0,-31.893,120.18,2975.8,-505.47,299.59,7.037000000000001,310.35,-0.0060464,33.539,87.811,0.0039216,0.11373,-0.0003137,0.47918,1654.9,0.052555999999999985,0.0,-3.5471,-0.014916,0.007654300000000002,87.811,0.0,-0.091985,1.0,1500.0,3000.0,1000.0,3363.6,36.599,1.0,0.0,0.0,-86.245,0.343984,1.0,0.34498,0.0,0.0
60.0,-31.893,120.18,2974.4,-532.91,322.44,5.6529,311.88,-0.26853,33.497,87.96600000000002,0.0039216,0.11373,-0.00033810000000000003,0.43244,1395.6,0.046697,0.0,-3.5143,-0.015166999999999996,0.0077797,87.96600000000002,0.0,-0.094681,1.0,1500.0,3000.0,1000.0,3361.8,37.207,1.0,0.0,0.0,-85.322,0.34052977777777776,1.0,0.34129,0.0,0.0
