index,lat,lon,alt,X,Y,Z,psi,theta,phi,TAS,JSHead,JSPitch,JSRoll,throttle,thrust,fuel_flow,rudder,elevator,left_ail,right_ail,ground_speed,wind_speed,roll_rate,num_wp,x_wp,y_wp,z_wp,wp_dist,yaw_reff,wp_stat,ph_stat,wl_stat,yaw_error,JSRoll_Sim,Roll_lim_stat,KP,KD,error_rate
1.0,-31.895,120.18,2976.8,-161.75,85.884,7.4403,298.36,3.8414,0.61452,83.124,0.0039216,0.11373,0.0039216,1.0,4774.4,0.13526,0.0,-4.3384,0.0094132,-0.039218,83.124,0.0,0.24745,1.0,0.0,3000.0,1000.0,2918.6,3.1769,0.0,0.0,0.0,-64.821,0.14455,0.0,0.14455,0.0,0.0
4.0,-31.895,120.18,2978.6,-228.9,121.85,9.2819,298.47,3.3197,0.8487899999999999,84.25299999999999,0.0039216,0.11373,0.0039216,1.0,4852.9,0.13755,0.0,-4.2979,0.0093658,-0.039124,84.25299999999999,0.0,0.25021,1.0,0.0,3000.0,1000.0,2887.2,4.5472,1.0,0.0,0.0,-66.07600000000001,0.14735,0.0,0.14735,0.0,0.0
8.0,-31.895,120.18,2978.9,-243.34,129.47,9.59,298.5,3.2638,1.7089,84.5,0.0039216,0.11373,0.1475,1.0,4858.4,0.13772,0.0,-4.2696,0.93028,-1.881,84.5,0.0,6.3212,1.0,0.0,3000.0,1000.0,2880.8,4.8455,1.0,0.0,0.0,-66.34899999999999,0.14795999999999998,0.0,0.14795999999999998,0.0,0.0
12.0,-31.895,120.18,2978.9,-243.34,129.47,9.59,298.5,3.2638,1.7089,84.5,0.0039216,0.11373,0.1475,1.0,4858.4,0.13772,0.0,-4.2696,0.93028,-1.881,84.5,0.0,6.3212,1.0,0.0,3000.0,1000.0,2880.8,4.8455,1.0,0.0,0.0,-66.34899999999999,0.14795999999999998,0.0,0.14795999999999998,0.0,0.0
16.0,-31.895,120.18,2979.0,-250.56,133.48,9.7423,298.52,3.2376,2.468,84.631,0.0039216,0.11373,0.23071,1.0,4860.5,0.13778,0.0,-4.287,1.495,-3.0104,84.631,0.0,8.6809,1.0,0.0,3000.0,1000.0,2877.4,4.9955,1.0,0.0,0.0,-66.479,0.14825,0.0,0.14825,0.0,0.0
20.0,-31.895,120.18,2979.4,-274.39,146.18,10.186,298.65,3.1382,5.4441,85.03299999999999,0.0039216,0.11373,0.14899,0.8801399999999999,4593.5,0.13086,0.0,-4.2925,0.88325,-1.7869,85.03299999999999,0.0,9.7044,1.0,0.0,3000.0,1000.0,2867.0,5.4921,1.0,0.0,0.0,-66.837,0.14905,0.0,0.14905,0.0,0.0
24.0,-31.895,120.18,2979.9,-304.0,162.26,10.673,299.05,3.0809,9.5639,85.44,0.0039216,0.11373,0.16818,0.72587,3756.9,0.10779,0.0,-4.0803,1.0056,-2.0315,85.44,0.0,10.751,1.0,0.0,3000.0,1000.0,2854.0,6.1146,1.0,0.0,0.0,-67.065,0.14955,0.0,0.14955,0.0,0.0
28.0,-31.894,120.18,2980.3,-334.33,178.97,11.123,299.7,3.0705,13.423,85.71600000000002,0.0039216,0.11373,0.13827,0.6985399999999999,3032.0,0.086759,0.0,-3.9231,0.8226,-1.6656,85.71600000000002,0.0,8.6555,1.0,0.0,3000.0,1000.0,2840.8,6.7587,1.0,0.0,0.0,-67.059,0.14954,0.0,0.14954,0.0,0.0
32.0,-31.894,120.18,2980.6,-361.04,194.2,11.499,300.42,3.0457,16.552,85.885,0.0039216,0.11373,0.14156,0.6362300000000001,2660.8,0.076074,0.0,-3.8638,0.8500700000000001,-1.7205,85.885,0.0,8.4627,1.0,0.0,3000.0,1000.0,2828.9,7.3324,1.0,0.0,0.0,-66.914,0.14922,0.0,0.14922,0.0,0.0
36.0,-31.894,120.18,2981.0,-397.15,215.15,11.968,301.57,2.9763,20.534,86.02,0.0039216,0.11373,0.11098,0.52572,2099.9,0.062989,0.0,-3.7813,0.64969,-1.3198,86.02,0.0,7.2025,1.0,0.0,3000.0,1000.0,2813.0,8.1163,1.0,0.0,0.0,-66.55,0.14841,0.0,0.14841,0.0,0.0
